abfahren,fährt ab,guhr ab,ist abgefahren
abfliegen,fliegt ab,flog ab,ist abgeflogen
abgeben,gibt ab,gab ab,hat abgegeben
abschließen,schließt ab,schloss ab,hat abgeschlossen
anbieten,bietet an,bot an,hat angeboten
anfangen,fängt an,fing an,hat angefangen
ankommen,kommt an,kam an,ist angekommen
anrufen,ruft an,rief an,hat angerufen
ansehen,sieht an,sah an,hat angesehen
anziehen,zieht an,zog an,hat angezogen
aufstehen,steht auf,stand auf,ist aufgestanden
ausgeben,gibt aus,gab aus,hat asugegeben
ausgehen,geht aus,ging aus,ist ausgegangen
aussehen,sieht aus,sah aus,hat ausgesehen
aussteigen,steigt aus,stieg aus,ist ausgestiegen
ausziehen,zieht aus,zog aus,ist/has ausgezogen
